id,key,value,type
151321048,ele,102,regular
151321048,gnis:Class,Populated Place,regular
151321048,gnis:County,Washington,regular
151321048,gnis:County_num,477,regular
151321048,gnis:ST_alpha,TX,regular
151321048,gnis:ST_num,48,regular
151321048,id,1379025,gnis
151321048,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151321048,is_in,"Washington,Texas,Tex.,TX,USA",regular
151321048,name,Sandy Hill,regular
151321048,place,hamlet,regular
151321173,ele,76,regular
151321173,gnis:Class,Populated Place,regular
151321173,gnis:County,Grimes,regular
151321173,gnis:County_num,185,regular
151321173,gnis:ST_alpha,TX,regular
151321173,gnis:ST_num,48,regular
151321173,id,1379507,gnis
151321173,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151321173,is_in,"Grimes,Texas,Tex.,TX,USA",regular
151321173,name,Carlos,regular
151321173,place,hamlet,regular
151321845,ele,115,regular
151321845,gnis:Class,Populated Place,regular
151321845,gnis:County,Grimes,regular
151321845,gnis:County_num,185,regular
151321845,gnis:ST_alpha,TX,regular
151321845,gnis:ST_num,48,regular
151321845,id,1379118,gnis
151321845,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151321845,is_in,"Grimes,Texas,Tex.,TX,USA",regular
151321845,name,Stoneham,regular
151321845,place,hamlet,regular
151322919,ele,132,regular
151322919,gnis:Class,Populated Place,regular
151322919,gnis:County,Robertson,regular
151322919,gnis:County_num,395,regular
151322919,gnis:ST_alpha,TX,regular
151322919,gnis:ST_num,48,regular
151322919,id,1379425,gnis
151322919,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151322919,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151322919,name,Black Jack,regular
151322919,place,hamlet,regular
151328844,ele,91,regular
151328844,gnis:Class,Populated Place,regular
151328844,gnis:County,Burleson,regular
151328844,gnis:County_num,051,regular
151328844,gnis:ST_alpha,TX,regular
151328844,gnis:ST_num,48,regular
151328844,id,1380441,gnis
151328844,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151328844,is_in,"Burleson,Texas,Tex.,TX,USA",regular
151328844,name,Rita,regular
151328844,place,hamlet,regular
151335300,ele,81,regular
151335300,gnis:Class,Populated Place,regular
151335300,gnis:County,Robertson,regular
151335300,gnis:County_num,395,regular
151335300,gnis:ST_alpha,TX,regular
151335300,gnis:ST_num,48,regular
151335300,id,1380644,gnis
151335300,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151335300,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151335300,name,Tatsie Crossing,regular
151335300,place,hamlet,regular
151337245,ele,95,regular
151337245,gnis:Class,Populated Place,regular
151337245,gnis:County,Brazos,regular
151337245,gnis:County_num,041,regular
151337245,gnis:ST_alpha,TX,regular
151337245,gnis:ST_num,48,regular
151337245,id,1380467,gnis
151337245,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151337245,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151337245,name,Royder,regular
151337245,place,hamlet,regular
151339221,ele,111,regular
151339221,gnis:Class,Populated Place,regular
151339221,gnis:County,Robertson,regular
151339221,gnis:County_num,395,regular
151339221,gnis:ST_alpha,TX,regular
151339221,gnis:ST_num,48,regular
151339221,id,1380512,gnis
151339221,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151339221,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151339221,name,Seger,regular
151339221,place,hamlet,regular
151340131,ele,64,regular
151340131,gnis:Class,Populated Place,regular
151340131,gnis:County,Brazos,regular
151340131,gnis:County_num,041,regular
151340131,gnis:ST_alpha,TX,regular
151340131,gnis:ST_num,48,regular
151340131,id,1379632,gnis
151340131,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151340131,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151340131,name,Dallam,regular
151340131,place,hamlet,regular
151342263,ele,86,regular
151342263,gnis:Class,Populated Place,regular
151342263,gnis:County,Grimes,regular
151342263,gnis:County_num,185,regular
151342263,gnis:ST_alpha,TX,regular
151342263,gnis:ST_num,48,regular
151342263,id,1378624,gnis
151342263,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151342263,is_in,"Grimes,Texas,Tex.,TX,USA",regular
151342263,name,Lynn Grove,regular
151342263,place,hamlet,regular
151343353,ele,81,regular
151343353,gnis:Class,Populated Place,regular
151343353,gnis:County,Robertson,regular
151343353,gnis:County_num,395,regular
151343353,gnis:ST_alpha,TX,regular
151343353,gnis:ST_num,48,regular
151343353,id,1380254,gnis
151343353,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151343353,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151343353,name,Nicholas,regular
151343353,place,hamlet,regular
151349644,ele,95,regular
151349644,gnis:Class,Populated Place,regular
151349644,gnis:County,Grimes,regular
151349644,gnis:County_num,185,regular
151349644,gnis:ST_alpha,TX,regular
151349644,gnis:ST_num,48,regular
151349644,id,1379167,gnis
151349644,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151349644,is_in,"Grimes,Texas,Tex.,TX,USA",regular
151349644,name,Todd,regular
151349644,place,hamlet,regular
151353100,ele,82,regular
151353100,gnis:Class,Populated Place,regular
151353100,gnis:County,Robertson,regular
151353100,gnis:County_num,395,regular
151353100,gnis:ST_alpha,TX,regular
151353100,gnis:ST_num,48,regular
151353100,id,1380474,gnis
151353100,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151353100,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151353100,name,Rye,regular
151353100,place,hamlet,regular
151364882,ele,107,regular
151364882,gnis:Class,Populated Place,regular
151364882,gnis:County,Madison,regular
151364882,gnis:County_num,313,regular
151364882,gnis:ST_alpha,TX,regular
151364882,gnis:ST_num,48,regular
151364882,id,1364203,gnis
151364882,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151364882,is_in,"Madison,Texas,Tex.,TX,USA",regular
151364882,name,North Zulch,regular
151364882,place,hamlet,regular
151367834,ele,89,regular
151367834,gnis:Class,Populated Place,regular
151367834,gnis:County,Burleson,regular
151367834,gnis:County_num,051,regular
151367834,gnis:ST_alpha,TX,regular
151367834,gnis:ST_num,48,regular
151367834,id,2034942,gnis
151367834,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151367834,is_in,"Burleson,Texas,Tex.,TX,USA",regular
151367834,name,Big Creek,regular
151367834,place,hamlet,regular
151370575,ele,73,regular
151370575,gnis:Class,Populated Place,regular
151370575,gnis:County,Brazos,regular
151370575,gnis:County_num,041,regular
151370575,gnis:ST_alpha,TX,regular
151370575,gnis:ST_num,48,regular
151370575,id,1380612,gnis
151370575,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151370575,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151370575,name,Stone City,regular
151370575,place,hamlet,regular
151377896,ele,100,regular
151377896,gnis:Class,Populated Place,regular
151377896,gnis:County,Robertson,regular
151377896,gnis:County_num,395,regular
151377896,gnis:ST_alpha,TX,regular
151377896,gnis:ST_num,48,regular
151377896,id,1351871,gnis
151377896,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151377896,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151377896,name,Benchley,regular
151377896,place,hamlet,regular
151382797,ele,99,regular
151382797,gnis:Class,Populated Place,regular
151382797,gnis:County,Brazos,regular
151382797,gnis:County_num,041,regular
151382797,gnis:ST_alpha,TX,regular
151382797,gnis:ST_num,48,regular
151382797,id,1379904,gnis
151382797,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151382797,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151382797,name,Harvey,regular
151382797,place,hamlet,regular
151393012,ele,64,regular
151393012,gnis:Class,Populated Place,regular
151393012,gnis:County,Brazos,regular
151393012,gnis:County_num,041,regular
151393012,gnis:ST_alpha,TX,regular
151393012,gnis:ST_num,48,regular
151393012,id,1379533,gnis
151393012,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151393012,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151393012,name,Channey Crossing,regular
151393012,place,hamlet,regular
151396212,ele,81,regular
151396212,gnis:Class,Populated Place,regular
151396212,gnis:County,Brazos,regular
151396212,gnis:County_num,041,regular
151396212,gnis:ST_alpha,TX,regular
151396212,gnis:ST_num,48,regular
151396212,id,1388219,gnis
151396212,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151396212,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151396212,name,Smetana,regular
151396212,place,hamlet,regular
151396743,ele,71,regular
151396743,gnis:Class,Populated Place,regular
151396743,gnis:County,Brazos,regular
151396743,gnis:County_num,041,regular
151396743,gnis:ST_alpha,TX,regular
151396743,gnis:ST_num,48,regular
151396743,id,1354026,gnis
151396743,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151396743,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151396743,name,Cawthon,regular
151396743,place,hamlet,regular
151405773,ele,78,regular
151405773,gnis:Class,Populated Place,regular
151405773,gnis:County,Washington,regular
151405773,gnis:County_num,477,regular
151405773,gnis:ST_alpha,TX,regular
151405773,gnis:ST_num,48,regular
151405773,id,2034875,gnis
151405773,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151405773,is_in,"Washington,Texas,Tex.,TX,USA",regular
151405773,name,Quarry,regular
151405773,place,hamlet,regular
151411635,ele,89,regular
151411635,gnis:Class,Populated Place,regular
151411635,gnis:County,Brazos,regular
151411635,gnis:County_num,041,regular
151411635,gnis:ST_alpha,TX,regular
151411635,gnis:ST_num,48,regular
151411635,id,1379728,gnis
151411635,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151411635,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151411635,name,Enright,regular
151411635,place,hamlet,regular
151421193,ele,105,regular
151421193,gnis:Class,Populated Place,regular
151421193,gnis:County,Burleson,regular
151421193,gnis:County_num,051,regular
151421193,gnis:ST_alpha,TX,regular
151421193,gnis:ST_num,48,regular
151421193,id,2034813,gnis
151421193,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151421193,is_in,"Burleson,Texas,Tex.,TX,USA",regular
151421193,name,Cooks Point,regular
151421193,place,hamlet,regular
151426084,ele,103,regular
151426084,gnis:Class,Populated Place,regular
151426084,gnis:County,Walker,regular
151426084,gnis:County_num,471,regular
151426084,gnis:ST_alpha,TX,regular
151426084,gnis:ST_num,48,regular
151426084,id,1382693,gnis
151426084,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151426084,is_in,"Walker,Texas,Tex.,TX,USA",regular
151426084,name,San Jacinto,regular
151426084,place,hamlet,regular
151436123,ele,85,regular
151436123,gnis:Class,Populated Place,regular
151436123,gnis:County,Robertson,regular
151436123,gnis:County_num,395,regular
151436123,gnis:ST_alpha,TX,regular
151436123,gnis:ST_num,48,regular
151436123,id,1379844,gnis
151436123,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151436123,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151436123,name,Goodland,regular
151436123,place,hamlet,regular
151436342,ele,94,regular
151436342,gnis:Class,Populated Place,regular
151436342,gnis:County,Brazos,regular
151436342,gnis:County_num,041,regular
151436342,gnis:ST_alpha,TX,regular
151436342,gnis:ST_num,48,regular
151436342,id,1380433,gnis
151436342,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151436342,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151436342,name,Reliance,regular
151436342,place,hamlet,regular
151438653,ele,103,regular
151438653,gnis:Class,Populated Place,regular
151438653,gnis:County,Grimes,regular
151438653,gnis:County_num,185,regular
151438653,gnis:ST_alpha,TX,regular
151438653,gnis:ST_num,48,regular
151438653,id,1368319,gnis
151438653,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151438653,is_in,"Grimes,Texas,Tex.,TX,USA",regular
151438653,name,Singleton,regular
151438653,place,hamlet,regular
151454212,ele,113,regular
151454212,gnis:Class,Populated Place,regular
151454212,gnis:County,Robertson,regular
151454212,gnis:County_num,395,regular
151454212,gnis:ST_alpha,TX,regular
151454212,gnis:ST_num,48,regular
151454212,id,1380632,gnis
151454212,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151454212,is_in,"Robertson,Texas,Tex.,TX,USA",regular
151454212,name,Sutton,regular
151454212,place,hamlet,regular
151461194,population,67266;2006,census
151461194,ele,114,regular
151461194,gnis:Class,Populated Place,regular
151461194,gnis:County,Brazos,regular
151461194,gnis:County_num,041,regular
151461194,gnis:ST_alpha,TX,regular
151461194,gnis:ST_num,48,regular
151461194,id,1353099,gnis
151461194,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151461194,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151461194,name,Bryan,regular
151461194,place,town,regular
151461194,population,67266,regular
151463830,ele,89,regular
151463830,gnis:Class,Populated Place,regular
151463830,gnis:County,Brazos,regular
151463830,gnis:County_num,041,regular
151463830,gnis:ST_alpha,TX,regular
151463830,gnis:ST_num,48,regular
151463830,id,1379445,gnis
151463830,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151463830,is_in,"Brazos,Texas,Tex.,TX,USA",regular
151463830,name,Boonville,regular
151463830,place,hamlet,regular
151465604,ele,56,regular
